,ID,Фамилия,Имя,Отчество,Организация,Аффилиации,Город
123,84,Даниленко,Ольга,Владимировна,ИПУ РАН,"2019;Trapeznikov Institute of Control Sciences of RAS, 2019;Институт проблем управления им. В.А. Трапезникова",Москва
124,213,Гусев,Владислав,Борисович,ИПУ РАН,"2019;Institute of Control Sciences RAS, Laboratory of Intellectual Control Systems, Moscow, Russian Federation, 2019;Laboratory of smart control system Institute of Control Sciences by V.A. Trapeznikov (of Russian Academy of Sciences), 2019;ИПУ РАН, 2019;ИПУ им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. ТрапезниковаРАН",Москва
125,50570,Гулюкина,Светлана,Игоревна,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences RAS, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
127,13576,Горохова,Анна,Евгеньевна,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;ФГБОУ ВО «Московский политехнический университет»",Москва
128,35426,Мещерякова,Наталья,Геннадьевна,ИПУ РАН,"2019;National Research University Higher School of Economics (HSE), Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences (ICS RAS), Moscow, Russian Federation",Москва
129,18447,Швыдун,Сергей,Владимирович,ИПУ РАН,"2019;HSE University, 2019;ICS RAS, 2019;National Research University Higher School of Economics, 2019;National Research University Higher School of Economics, Moscow, Russian Federation, 2019;National Research University Higher School of Economics, Myasnitskaya Str. 20, 101000 Moscow, Russia, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Science, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Science, Profsoyuznaya Str. 65, 117342 Moscow, Russia, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Национальный исследовательский университет «Высшая школа экономики»",Москва
130,165,Выхованец,Валерий,Святославович,ИПУ РАН,"2019;Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
132,33844,Шинкарюк,Алла,Георгиевна,ИПУ РАН,,Москва
133,9598,Куржанский,Александр,Борисович,ИПУ РАН,,Москва
136,525,Никишов,Сергей,Максимович,ИПУ РАН,2019;Институт проблем управления им. В.А. Трапезникова РАН,Москва
137,37180,Васьковская,Татьяна,Александровна,ИПУ РАН,"2019;National Research University &quot;Moscow Power Engineering Institute&quot;, 2019;Национальный исследовательский университет “МЭИ”",Москва
138,367,Корепанов,Всеволод,Олегович,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control, 2019;V.A.Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya str., 65, Moscow, 117997, Russian Federation, 2019;Институт проблем управления РАН, 2019;Институт проблем управления им В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А.Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
139,28585,Аминев,Дмитрий,Андреевич,ИПУ РАН,"2019;Federal State Budgetary Scientific Institution All-Russian Research Institute for Hydraulic Engineering and Land Reclamation (VNIIGiM), Moscow, Russian Federation, 2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 65, Profsoyuznaya Street, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Московский государственный технический университет им. Н. Э. Баумана, 2019;ФГБНУ «ВНИИГиМ им. А.Н. Костякова»",Москва
141,54070,Олейникова,Валерия,Сергеевна,ИПУ РАН,"2019;ФГБНУ «Национальный НИИ общественного здоровья имени Н.А.Семашко», 2019;ФГБНУ «Национальный научно-исследовательский институт общественного здоровья имени Н.А. Семашко»",Москва
145,158,Вольский,Владимир,Иванович,ИПУ РАН,,Москва
146,25767,Вишневский,Владимир,Миронович,ИПУ РАН,"2019;Institute of Control Sciences of Russian Academy of Sciences and Closed Corporation “Information and Networking Technologies”, Moscow, Russian Federation, 2019;Institute of Control Sciences of Russian Academy of Sciences, Profsoyuznaya str. 65, Moscow, 117997, Russian Federation, 2019;Institute of Control Sciences, Russian Academy of Science, 2019;V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya 65 str., Moscow, 117997, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya 65, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А.Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;Федеральное государственное бюджетное учреждение науки Институт проблем управления им. В. А. Трапезникова Российской академии наук",Москва
147,31187,Агапова,Анастасия,Сергеевна,ИПУ РАН,"2019;Moscow Aviation Institute, National Research University, 2019;Trapeznikov Institute of Control Sciences, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;МАИ (национальный исследовательский ун-т)",Москва
149,11497,Посыпкин,Михаил,Анатольевич,ИПУ РАН,,Москва
151,693,Степанянц,Армен,Суренович,ИПУ РАН,"2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 65 Profsoyuznaya Street, Moscow, 117997, Russian Federation",Москва
152,641,Салтыков,Сергей,Анатольевич,ИПУ РАН,2019;Институт проблем управления им. В.А. Трапезникова РАН,Москва
153,25512,Рослякова,Наталья,Андреевна,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences,, 2019;ИПУ РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;Федеральное государственное бюджетное учреждение науки ИНСТИТУТ ПРОБЛЕМ РЕГИОНАЛЬНОЙ ЭКОНОМИКИ РОССИЙСКОЙ АКАДЕМИИ НАУК",Москва
154,615,Райков,Александр,Николаевич,ИПУ РАН,"2019;Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Moscow MV Lomonosov State Univ, Moscow, Russia, 2019;Moscow State University, Moscow, 119991, Russian Federation, 2019;Russian Acad Sci, Inst Control Sci, Inst Philosophy, Moscow, Russia, 2019;Russian Acad Sci, Inst Control Sci, Moscow, Russia, 2019;Russian Acad Sci, Inst Philosophy, Moscow, Russia, 2019;Russian Academy of Sciences, Institute of Control Sciences, Moscow, Russian Federation, 2019;Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, Moscow, 117997, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;Институт проблем управления РАН, 2019;Институт проблем управления им. В.А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;Институт философии РАН, 2019;Московский государственный университет им. М.В. Ломоносова, 2019;ООО «Агентство Новых Стратегий», 2020;Institute of Control Sciences Russian Academy of Sciences, 2020;M.V. Lomonosov Moscow State University",Москва
155,38114,Плаксин,Александр,Михайлович,ИПУ РАН,"2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления имени В.А. Трапезникова РАН (ИПУ РАН), 2019;ФГБОУ ВО «Московский государственный технологический университет «Станкин»",Москва
157,51894,Окольнишникова,Ирина,Юрьевна,ИПУ РАН,"2019;State University of Management, 2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, 2019;Государственный университет управления, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова Российской академии наук, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;ФГАОУ ВО «Южно-Уральский государственный университет»",Москва
158,51670,Сулейкин,Александр,Сергеевич,ИПУ РАН,,Москва
159,71661,Лысунец,Татьяна,Борисовна,НИ ТПУ,,
160,71660,Кравченко ,Андрей,Александрович,НИ ТПУ,,
161,71636,Stephen,Jeswinde,Nuagah,Tamale Technical University,,Ghana
162,71635,Majid,Altuwairiqi,A,College of Computers and Information Technology,,
163,71634,Bilal,Ahmed,Mir,University of Toyama,,Toyama
164,71633,Vandana,Ahuja,A,Institute of Engineering and Technology,,Ramnagar
165,71632,Pankaj,Agarwal,A,"School of Engineering and Technology, K.R. Mangalam University",,Haryana
166,71631,Ramesh,K,K,Vivekanandha College of Arts and Sciences for Women,,Tamilnadu
167,71629,Одинцова,Елена ,Валерьевна,"Институт социально-экономических проблем народонаселения РАН, Москва.",,Москва
177,71610,Сироткин,В,А,КубГАУ,,Краснодар
178,71606,Звонарева,С.,А.,Финансовый Университет при Правительстве РФ,,Москва
179,71598,Яковлев,А,А,Федеральный научно-клинический центр реаниматологии и реабилитологии,,
180,71579,Поляков,Максим,Сергеевич,Институт проблем точной механики и управления РАН,,
181,71577,Терелянский,Павел,Васильевич,Российский экономический университет им. Г.В. Плеханова,,
182,71576,Горошникова,Татьяна,Аркадьевна,Финансовый университет при Правительстве Российской Федерации,,Москва
183,71571,Мазур,С,И,Сеченовский университет,,
184,71570,Чушков,Ю,В,Сеченовский университет,,
185,71569,Сиордия,А,А,Сеченовский университет,,
186,71568,Чилова,Р,А,Сеченовский университет,,
187,71567,Бахтияров,К,Р,Сеченовский университет,,
188,71558,Serletis,Apostolos,No,University of Calgary,,Calgary
189,71550,Шапошников,Артем,Михайлович,Росси́йская акаде́мия наро́дного хозя́йства и госуда́рственной слу́жбы при Президенте Росси́йской Федера́ции ,,Москва - Пенза
190,71547,Багаева,Дарья,Михайловна,Кубанский государственный университет,,Краснодар
191,71541,Черкасов,Петр,Сергеевич,Сургутская КГБ,,
192,71530,Шевченко,М,А,ИПУ,,
193,71526,Омарова,Балнур,Алтынсаровна,Карагандинский технический университет имени Абылкаса Сагинова,,Караганда
194,71525,Стеблякова ,Лариса,П.,Государственный университет упралвения,,Москва
195,71511,Zaripova,Elvira,Rinatovna,"5Moscow University of the Ministry of Internal Affairs of the Russian Federation named after V. J. Kikot, Russia",,Москва
196,71501,Бейреш,Андрей,Михайлович,МГТУ &quot;СТАНКИН&quot;,,Москва
198,71490,Корягина,Инга,Анатольевна,РЭУ им. Г.В. Плеханова,,Москва
199,71489,Тимохина,Галина,Сергеевна,РЭУ им. Г.В. Плеханова,,Москва
200,71477,Кушникова,Елена,Вадимовна,Саратовский федеральный научный центр РАН,,Саратов
203,71471,Файзуллина,Элина,Ринатовна,МГУ имени М.В. Ломоносова,,
205,71439,Филимонова,Н.,Ю.,?,,
206,71438,Шанин,А.,А.,?,,
207,71437,Фролова,Наталья,Николаевна,Московский Политех,,
208,71436,Панова,Е.,П.,Московский Политех,,
209,71435,Иксанов,И.,С.,?,,
212,71414,Бондарев,Александр,Евгеньевич,ИПМ,,Moscow
213,71400,Пятибратов,Петр,Вадимович,РГУ нефти и газа (НИУ) имени И.М. Губкина,,Москва
214,71392,Галинина ,Ольга,Сергеевна,Российский университет дружбы народов,,
215,71384,Окладников,Сергей,Михайлович,РАНХиГС,,Москва
217,71379,Благодарный,Евгений,Владимирович,МФТИ,,г.Долгопрудный
218,71378,Караулов,Роман,Сергеевич,ООО «Агрохолдинг КипиАй»,,Москва
219,71369,Михайлова,Виктория,Игоревна,Российский университет дружбы народов,,
220,71368,Левкович,Константин ,Анатольевич,Российский университет дружбы народов,,
221,71367,Ли,Тимофей,Александрович,Российский университет дружбы народов,,
222,71365,Савич,Валерия,Николаева,Российский университет дружбы народов,,
223,71361,Кочетков,Дмитрий,Михайлович,НИУ «Высшая школа экономики»,,Москва
228,71323,Колобов,Дмитрий,Валерьевич,МФТИ,,
229,71322,Богданов,Андрей,Дмитриевич,МФТИ,,
230,71315,Шестакова,Татьяна,Петровна,ГБУЗ МО МОНИКИ им. М.Ф.Владимирского,,Москва
231,71312,Ананьева ,Анна,Валериевна,НП «Научно-образовательный центр «Инновационные горные технологии»,,
232,71311,Михайлова,Марина,Викторовна,НИИ биомедицинской химии имени В.Н.Ореховича,,
233,71310,Неврединов,Александр,Викторович,Евразийский аквакультурный альянс,,
234,71309,Беляков,Константин,Олегович,Томский Государственный Университет,,
235,71286,Чехович,Юлия,Викторовна,ФИЦ ИУ РАН,,Москва
236,71282,Клочко,Анастасия,Алексеевна,МФТИ,,Москва
237,71279,Потехина,Елена,Витальевна,РГСУ,,Москва
251,60838,Голобурдин,Николай,Владимирович,ИПУ РАН,,Москва
253,42302,Гладких,Татьяна,Яновна,ИПУ РАН,,Москва
256,188,Лясковская,Ирина,Владимировна,ИПУ РАН,,Москва
258,31174,Безгубова,Юлия,Константиновна,ИПУ РАН,"2019;ИПУ РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
259,392,Крыгин,Андрей,Александрович,ИПУ РАН,2019;ФГБУН Институт проблем управления им. В.А. Трапезникова РАН,Москва
260,53009,Бугайский,Константин,Алексеевич,ИПУ РАН,"2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
261,14608,Бреер,Владимир,Валентинович,ИПУ РАН,,Москва
262,77,Барабанов,Иван,Николаевич,ИПУ РАН,"2019;Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V. A. Trapeznikov Institute of Control Sciences RAS, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
264,5,Абдулов,Александр,Викторович,ИПУ РАН,"2019;Laboratory of Automated Queuing Systems and Signal Processing, V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Science, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
265,10314,Егорова,Людмила,Геннадьевна,ИПУ РАН,"2019;National Research University Higher School of Economics, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences",Москва
266,47614,Исхаков,Андрей,Юнусович,ИПУ РАН,"2019;Cyber-physical Systems Laboratory, V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, Moscow, Russian Federation, 2019;Cyberphysical Systems Laboratory, V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 65 Profsoyuznaya street, Moscow, 117997, Russian Federation, 2019;Institute of Control Sciences RAS, 65 Profsoyuznaya street, Moscow, 117997, Russian Federation, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, 65 Profsoyuznaya, Moscow 117997, Russia, 2019;V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
268,25771,Ларионов,Андрей,Алексеевич,ИПУ РАН,"2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 65, Profsoyuznaya Street, Moscow, 117997, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya 65, Moscow, Russian Federation, 2019;Институт Проблем Управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
269,29158,Дуюнова,Анна,Андреевна,ИПУ РАН,,Москва
270,9742,Калашников,Андрей,Олегович,ИПУ РАН,"2019;Laboratory No79, V.A.Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences Russian Academy of Sciences, Moscow, Russian Federation, 2019;VA Trapeznikov Inst Control Sci, 65 Profsoyuznaya, Moscow 117997, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;Федеральное государственное бюджетное учреждение науки Институт проблем управления им. В.А. Трапезникова РАН",Москва
271,339,Клочков,Владислав,Валерьевич,ИПУ РАН,"2019;ИПУ РАН, 2019;ИПУ им. В.А. Трапезникова РАН, 2019;Институт проблем управления РАН, 2019;Институт проблем управления РАН им. В.А. Трапезникова, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;Институт проблем управления имени В.А. Трапезникова РАН, 2019;Национальный исследовательский центр «Институт им. Н.Е. Жуковского», 2019;Национальный исследовательский центр «Институт имени Н.Е. Жуковского», 2019;ФГБУ «НИЦ «Институт имени Н.Е. Жуковского», 2019;ФГБУ «Национальный исследовательский центр «Институт имени Н.Е. Жуковского», 2019;ФГБУ «Национальный исследовательский центр “Институт имени Н.Е. Жуковского”», 2019;ФГБУ НИЦ «Институт имени Н.Е. Жуковского»",Москва
272,745,Тычков,Сергей,Николаевич,ИПУ РАН,"2019;Institute of Control Sciences of Russian Academy of Sciences, 2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences",Москва
273,11408,Иванов,Евгений,Юрьевич,ИПУ РАН,,Москва
274,34432,Шевцов,Владислав,Сергеевич,ИПУ РАН,"2019;Department of Physics, Moscow State University, Moscow, 119991, Russian Federation, 2019;Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Московский государственный университет имени М. В. Ломоносова, 2019;Федеральное государственное бюджетное учреждение науки «Институт проблем управления имени В. А. Трапезникова» Российской академии наук, 2019;федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»",Москва
275,10391,Карцев,Николай,Михайлович,ИПУ РАН,"2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow, Russia",Москва
277,707,Сысоев,Леонид,Павлович,ИПУ РАН,,Москва
278,52430,Шутова,Ксения,Юрьевна,ИПУ РАН,2019;МГТУ им. Н.Э. Баумана,Москва
279,10022,Поляков,Олег,Петрович,ИПУ РАН,"2019;Department of Physics, Moscow State University, Moscow, 119991, Russian Federation, 2019;Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Московский государственный университет имени М. В. Ломоносова, 2019;Федеральное государственное бюджетное учреждение науки «Институт проблем управления имени В. А. Трапезникова» Российской академии наук, 2019;федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»",Москва
280,602,Постнова,Елена,Александровна,ИПУ РАН,"2019;ИПУ РАН им.В.А.Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
281,55558,Приказчиков,Сергей,Александрович,ИПУ РАН,,Москва
282,609,Пронина,Валерия,Александровна,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Scienses, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;ИПУ им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
283,10096,Семёнова,Ольга,Валерьевна,ИПУ РАН,"2019;Institute of Control Sciences of Russian Academy of Sciences, 2019;Institute of Control Sciences of Russian Academy of Sciences, Profsoyuznaya str. 65, Moscow, 117997, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya 65, Moscow, Russian Federation, 2019;Институт Проблем Управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
284,654,Середа,Леонид,Анатольевич,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
285,9679,Сиротюк,Владимир,Олегович,ИПУ РАН,"2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;Федеральное государственное бюджетное учреждение науки Институт проблем управления им. В.А.Трапезникова РОССИЙСКОЙ АКАДЕМИИ НАУК",Москва
286,692,Степановская,Ираида,Александровна,ИПУ РАН,"2019;V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
287,58815,Рей,Анастасия,Сергеевна,ИПУ РАН,,Москва
288,70691,Макеева,Елена,Дмитриевна,ИПУ РАН,,Москва
289,69390,Лобанов,Алексей,Владимирович,ИПУ РАН,,Москва
290,10131,Толок,Наталия,Борисовна,ИПУ РАН,"2019;ИПУ РАН, 2019;ИПУ им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
291,48293,Гришин,Егор,Максимович,ИПУ РАН,"2019;Lomonosov Moscow State Univ, Leninskie Gory 1-2, Moscow, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Profsoyuznaya 65, Moscow, Russia, 2019;ИПУ РАН им. В.А.Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;МГУ им. М. В. Ломоносова, 2019;МГУ им. М.В. Ломоносова",Москва
293,46079,Унанян,Нарек,Новлетович,ИПУ РАН,"2019;Sciences of Russian Academy of Sciences, Laboratory of Dynamics of Control Systems, V. A. Trapeznikov Institute of Control, Moscow, Russian Federation",Москва
